"ID","ClassName","Label","ActionType","Message","TaskID","GotoID","QuestionID","SortOrder","Result"
"154","NZTA\\SDLT\\Model\\AnswerActionField","High","continue","","0","144","162","0",""
"155","NZTA\\SDLT\\Model\\AnswerActionField","Low","continue","","0","144","163","0",""
"156","NZTA\\SDLT\\Model\\AnswerActionField","Medium","continue","","0","144","163","0",""
"157","NZTA\\SDLT\\Model\\AnswerActionField","High","continue","","0","144","163","0",""
"158","NZTA\\SDLT\\Model\\AnswerActionField","Low","continue","","0","144","164","0",""
"159","NZTA\\SDLT\\Model\\AnswerActionField","Medium","continue","","0","144","164","0",""
"160","NZTA\\SDLT\\Model\\AnswerActionField","High","continue","","0","144","164","0",""
"161","NZTA\\SDLT\\Model\\AnswerActionField","Low","continue","","0","144","165","0",""
"162","NZTA\\SDLT\\Model\\AnswerActionField","Medium","continue","","0","144","165","0",""
"163","NZTA\\SDLT\\Model\\AnswerActionField","High","continue","","0","144","165","0",""
"164","NZTA\\SDLT\\Model\\AnswerActionField","Low","continue","","0","144","166","0",""
"165","NZTA\\SDLT\\Model\\AnswerActionField","Medium","continue","","0","144","166","0",""
"166","NZTA\\SDLT\\Model\\AnswerActionField","High","continue","","0","144","166","0",""
"167","NZTA\\SDLT\\Model\\AnswerActionField","Finish","finish","","0","144","167","0",""
"168","NZTA\\SDLT\\Model\\AnswerActionField","Software as a Service","continue","","0","169","169","0",""
"169","NZTA\\SDLT\\Model\\AnswerActionField","Agency Controlled","continue","","0","169","169","0",""
"170","NZTA\\SDLT\\Model\\AnswerActionField","Proof of Concept","continue","","0","170","170","0",""
"171","NZTA\\SDLT\\Model\\AnswerActionField","Software/Product Trial","continue","","0","170","170","0",""
"172","NZTA\\SDLT\\Model\\AnswerActionField","Finish","continue","","0","172","172","0",""
"173","NZTA\\SDLT\\Model\\AnswerActionField","Yes","finish","","12","32","173","0",""
"174","NZTA\\SDLT\\Model\\AnswerActionField","No","continue","","0","173","173","0",""
"175","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","28","174","174","0",""
"176","NZTA\\SDLT\\Model\\AnswerActionField","No","continue","","28","174","174","0",""
"177","NZTA\\SDLT\\Model\\AnswerActionField","Finish","continue","","0","175","175","0",""
"178","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","0","177","177","0",""
"179","NZTA\\SDLT\\Model\\AnswerActionField","No","continue","","0","177","177","0",""
"180","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","17","178","178","0",""
"181","NZTA\\SDLT\\Model\\AnswerActionField","No","continue","","0","178","178","0",""
"182","NZTA\\SDLT\\Model\\AnswerActionField","Yes","goto","","0","174","180","0",""
"183","NZTA\\SDLT\\Model\\AnswerActionField","No","continue","","0","180","180","0",""
"184","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","0","182","182","0",""
"185","NZTA\\SDLT\\Model\\AnswerActionField","No","goto","","0","29","182","0",""
"186","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","0","186","186","0",""
"187","NZTA\\SDLT\\Model\\AnswerActionField","No","goto","","4","67","186","0",""
"188","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","0","188","188","0",""
"189","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","0","189","189","0",""
"190","NZTA\\SDLT\\Model\\AnswerActionField","No","goto","","0","190","189","0",""
"191","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","45","191","192","0",""
"192","NZTA\\SDLT\\Model\\AnswerActionField","No","continue","","44","191","192","0",""
"193","NZTA\\SDLT\\Model\\AnswerActionField","Yes","finish","","0","193","193","0",""
"194","NZTA\\SDLT\\Model\\AnswerActionField","No","continue","","0","193","193","0",""
"195","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","0","194","194","0",""
"196","NZTA\\SDLT\\Model\\AnswerActionField","No","continue","","0","194","194","0",""
"197","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","0","195","195","0",""
"198","NZTA\\SDLT\\Model\\AnswerActionField","No","goto","","0","51","195","0",""
"199","NZTA\\SDLT\\Model\\AnswerActionField","Don't know classification","goto","","4","198","196","0",""
"200","NZTA\\SDLT\\Model\\AnswerActionField","Same classification as existing","continue","","0","196","196","0",""
"201","NZTA\\SDLT\\Model\\AnswerActionField","I know new classification","continue","","0","196","196","0",""
"202","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","0","198","198","0",""
"203","NZTA\\SDLT\\Model\\AnswerActionField","No","goto","","0","200","198","0",""
"204","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","0","199","199","0",""
"205","NZTA\\SDLT\\Model\\AnswerActionField","No","continue","","40","199","199","0",""
"206","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","0","200","200","0",""
"207","NZTA\\SDLT\\Model\\AnswerActionField","No","goto","","0","51","200","0",""
"208","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","0","201","201","0",""
"209","NZTA\\SDLT\\Model\\AnswerActionField","No","continue","","5","201","201","0",""
"210","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","11","203","203","0",""
"211","NZTA\\SDLT\\Model\\AnswerActionField","No","continue","","44","203","203","0",""
"212","NZTA\\SDLT\\Model\\AnswerActionField","No","continue","","0","188","188","0",""
"213","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","0","188","204","0",""
"214","NZTA\\SDLT\\Model\\AnswerActionField","No","continue","","0","188","204","0",""
"215","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","0","188","205","0",""
"216","NZTA\\SDLT\\Model\\AnswerActionField","No","continue","","0","188","205","0",""
"217","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","0","188","206","0",""
"218","NZTA\\SDLT\\Model\\AnswerActionField","No","continue","","0","188","206","0",""
"219","NZTA\\SDLT\\Model\\AnswerActionField","Yes","continue","","0","188","207","0",""
"220","NZTA\\SDLT\\Model\\AnswerActionField","No","continue","","0","188","207","0",""
