"ID","ClassName","Likelihood","Impact","LikelihoodPenalty","ImpactPenalty","RiskID","SecurityControlID","SecurityComponentID"
71,"NZTA\SDLT\Model\ControlWeightSet",3,6,0,0,4,52,37
72,"NZTA\SDLT\Model\ControlWeightSet",2,1,0,0,2,53,37
73,"NZTA\SDLT\Model\ControlWeightSet",1,1,0,0,3,53,37
74,"NZTA\SDLT\Model\ControlWeightSet",3,3,0,0,8,53,37
75,"NZTA\SDLT\Model\ControlWeightSet",1,1,0,0,6,53,37
76,"NZTA\SDLT\Model\ControlWeightSet",1,1,0,0,10,53,37
77,"NZTA\SDLT\Model\ControlWeightSet",4,6,0,0,2,54,37
78,"NZTA\SDLT\Model\ControlWeightSet",4,6,0,0,3,54,37
79,"NZTA\SDLT\Model\ControlWeightSet",1,0,0,0,4,54,37
80,"NZTA\SDLT\Model\ControlWeightSet",3,7,0,0,8,54,37
81,"NZTA\SDLT\Model\ControlWeightSet",3,7,0,0,6,54,37
82,"NZTA\SDLT\Model\ControlWeightSet",3,7,0,0,10,54,37
83,"NZTA\SDLT\Model\ControlWeightSet",2,0,0,0,2,55,37
84,"NZTA\SDLT\Model\ControlWeightSet",2,0,0,0,3,55,37
85,"NZTA\SDLT\Model\ControlWeightSet",3,0,0,0,8,55,37
86,"NZTA\SDLT\Model\ControlWeightSet",3,0,0,0,6,55,37
87,"NZTA\SDLT\Model\ControlWeightSet",3,0,0,0,10,55,37
88,"NZTA\SDLT\Model\ControlWeightSet",4,1,0,0,2,56,37
89,"NZTA\SDLT\Model\ControlWeightSet",1,0,0,0,3,56,37
90,"NZTA\SDLT\Model\ControlWeightSet",4,1,0,0,4,56,37
91,"NZTA\SDLT\Model\ControlWeightSet",4,1,0,0,8,56,37
92,"NZTA\SDLT\Model\ControlWeightSet",4,1,0,0,6,56,37
93,"NZTA\SDLT\Model\ControlWeightSet",4,1,0,0,10,56,37
94,"NZTA\SDLT\Model\ControlWeightSet",3,4,10,10,2,57,37
95,"NZTA\SDLT\Model\ControlWeightSet",2,3,0,0,3,57,37
96,"NZTA\SDLT\Model\ControlWeightSet",2,2,0,0,4,57,37
97,"NZTA\SDLT\Model\ControlWeightSet",3,4,0,0,8,57,37
98,"NZTA\SDLT\Model\ControlWeightSet",3,4,0,0,6,57,37
99,"NZTA\SDLT\Model\ControlWeightSet",3,4,0,0,10,57,37
100,"NZTA\SDLT\Model\ControlWeightSet",4,4,0,0,2,58,37
101,"NZTA\SDLT\Model\ControlWeightSet",4,4,0,0,3,58,37
102,"NZTA\SDLT\Model\ControlWeightSet",4,4,0,0,4,58,37
103,"NZTA\SDLT\Model\ControlWeightSet",5,0,0,0,8,58,37
104,"NZTA\SDLT\Model\ControlWeightSet",5,0,0,0,6,58,37
105,"NZTA\SDLT\Model\ControlWeightSet",5,0,0,0,10,58,37
106,"NZTA\SDLT\Model\ControlWeightSet",5,5,5,5,2,59,37
107,"NZTA\SDLT\Model\ControlWeightSet",7,2,0,0,8,59,37
108,"NZTA\SDLT\Model\ControlWeightSet",7,2,0,0,6,59,37
109,"NZTA\SDLT\Model\ControlWeightSet",7,2,0,0,10,59,37
110,"NZTA\SDLT\Model\ControlWeightSet",5,5,5,5,2,60,37
111,"NZTA\SDLT\Model\ControlWeightSet",5,5,5,5,2,61,37
112,"NZTA\SDLT\Model\ControlWeightSet",10,10,0,0,8,61,37
113,"NZTA\SDLT\Model\ControlWeightSet",5,5,0,0,6,61,37
114,"NZTA\SDLT\Model\ControlWeightSet",5,5,0,0,10,61,37
115,"NZTA\SDLT\Model\ControlWeightSet",2,0,0,0,2,62,37
116,"NZTA\SDLT\Model\ControlWeightSet",2,0,0,0,3,62,37
117,"NZTA\SDLT\Model\ControlWeightSet",2,0,0,0,4,62,37
118,"NZTA\SDLT\Model\ControlWeightSet",7,0,0,0,6,62,37
119,"NZTA\SDLT\Model\ControlWeightSet",7,0,0,0,10,62,37
120,"NZTA\SDLT\Model\ControlWeightSet",3,0,0,0,2,63,37
121,"NZTA\SDLT\Model\ControlWeightSet",3,0,0,0,3,63,37
122,"NZTA\SDLT\Model\ControlWeightSet",3,0,0,0,8,63,37
123,"NZTA\SDLT\Model\ControlWeightSet",3,0,0,0,6,63,37
124,"NZTA\SDLT\Model\ControlWeightSet",3,0,0,0,10,63,37
125,"NZTA\SDLT\Model\ControlWeightSet",1,4,0,0,2,64,37
126,"NZTA\SDLT\Model\ControlWeightSet",1,4,0,0,3,64,37
127,"NZTA\SDLT\Model\ControlWeightSet",2,4,0,0,2,65,37
128,"NZTA\SDLT\Model\ControlWeightSet",2,4,0,0,3,65,37
129,"NZTA\SDLT\Model\ControlWeightSet",3,0,0,0,2,18,37
130,"NZTA\SDLT\Model\ControlWeightSet",1,3,0,0,2,66,37
131,"NZTA\SDLT\Model\ControlWeightSet",3,0,0,0,2,67,37
132,"NZTA\SDLT\Model\ControlWeightSet",3,0,0,0,3,67,37
133,"NZTA\SDLT\Model\ControlWeightSet",3,0,0,0,4,67,37
134,"NZTA\SDLT\Model\ControlWeightSet",2,0,0,0,2,68,37
135,"NZTA\SDLT\Model\ControlWeightSet",2,0,0,0,3,68,37
136,"NZTA\SDLT\Model\ControlWeightSet",2,0,0,0,4,68,37
137,"NZTA\SDLT\Model\ControlWeightSet",6,6,20,20,2,70,37
138,"NZTA\SDLT\Model\ControlWeightSet",6,6,0,0,3,70,37
139,"NZTA\SDLT\Model\ControlWeightSet",6,6,0,0,4,70,37
140,"NZTA\SDLT\Model\ControlWeightSet",6,6,0,0,8,70,37
141,"NZTA\SDLT\Model\ControlWeightSet",6,6,0,0,6,70,37
142,"NZTA\SDLT\Model\ControlWeightSet",6,6,0,0,10,70,37
143,"NZTA\SDLT\Model\ControlWeightSet",4,4,0,0,2,71,37
144,"NZTA\SDLT\Model\ControlWeightSet",4,4,0,0,3,71,37
145,"NZTA\SDLT\Model\ControlWeightSet",4,4,0,0,4,71,37
146,"NZTA\SDLT\Model\ControlWeightSet",4,4,0,0,8,71,37
147,"NZTA\SDLT\Model\ControlWeightSet",4,4,0,0,6,71,37
148,"NZTA\SDLT\Model\ControlWeightSet",4,4,0,0,10,71,37
149,"NZTA\SDLT\Model\ControlWeightSet",6,8,0,0,8,72,37
150,"NZTA\SDLT\Model\ControlWeightSet",6,8,0,0,6,72,37
151,"NZTA\SDLT\Model\ControlWeightSet",6,8,0,0,10,72,37
152,"NZTA\SDLT\Model\ControlWeightSet",4,0,0,0,2,73,37
153,"NZTA\SDLT\Model\ControlWeightSet",4,0,0,0,4,73,37
154,"NZTA\SDLT\Model\ControlWeightSet",4,0,0,0,2,74,37
155,"NZTA\SDLT\Model\ControlWeightSet",4,0,0,0,4,74,37
156,"NZTA\SDLT\Model\ControlWeightSet",4,0,0,0,2,75,37
157,"NZTA\SDLT\Model\ControlWeightSet",4,0,0,0,4,75,37
158,"NZTA\SDLT\Model\ControlWeightSet",4,4,0,0,8,75,37
159,"NZTA\SDLT\Model\ControlWeightSet",4,4,0,0,6,75,37
160,"NZTA\SDLT\Model\ControlWeightSet",4,4,0,0,10,75,37
161,"NZTA\SDLT\Model\ControlWeightSet",4,4,0,0,3,76,37
162,"NZTA\SDLT\Model\ControlWeightSet",4,4,0,0,8,76,37
163,"NZTA\SDLT\Model\ControlWeightSet",4,4,0,0,6,76,37
164,"NZTA\SDLT\Model\ControlWeightSet",4,4,0,0,10,76,37
165,"NZTA\SDLT\Model\ControlWeightSet",4,4,0,0,2,77,37
166,"NZTA\SDLT\Model\ControlWeightSet",4,4,0,0,3,77,37
167,"NZTA\SDLT\Model\ControlWeightSet",4,4,0,0,4,77,37
168,"NZTA\SDLT\Model\ControlWeightSet",4,4,0,0,8,77,37
169,"NZTA\SDLT\Model\ControlWeightSet",4,4,0,0,6,77,37
170,"NZTA\SDLT\Model\ControlWeightSet",4,4,0,0,10,77,37
171,"NZTA\SDLT\Model\ControlWeightSet",4,4,0,0,2,78,37
172,"NZTA\SDLT\Model\ControlWeightSet",4,4,0,0,4,78,37
173,"NZTA\SDLT\Model\ControlWeightSet",4,4,0,0,8,78,37
174,"NZTA\SDLT\Model\ControlWeightSet",4,4,0,0,6,78,37
175,"NZTA\SDLT\Model\ControlWeightSet",4,4,0,0,10,78,37
176,"NZTA\SDLT\Model\ControlWeightSet",2,2,0,0,2,80,37
177,"NZTA\SDLT\Model\ControlWeightSet",2,2,0,0,3,80,37
178,"NZTA\SDLT\Model\ControlWeightSet",2,2,0,0,4,80,37
179,"NZTA\SDLT\Model\ControlWeightSet",3,3,0,0,8,82,37
180,"NZTA\SDLT\Model\ControlWeightSet",3,3,0,0,6,82,37
181,"NZTA\SDLT\Model\ControlWeightSet",3,3,0,0,10,82,37
182,"NZTA\SDLT\Model\ControlWeightSet",3,3,0,0,4,83,37
183,"NZTA\SDLT\Model\ControlWeightSet",3,3,0,0,8,83,37
184,"NZTA\SDLT\Model\ControlWeightSet",3,3,0,0,6,83,37
185,"NZTA\SDLT\Model\ControlWeightSet",3,3,0,0,10,83,37
186,"NZTA\SDLT\Model\ControlWeightSet",3,0,0,0,2,85,37
187,"NZTA\SDLT\Model\ControlWeightSet",2,2,0,0,2,87,37
188,"NZTA\SDLT\Model\ControlWeightSet",2,2,0,0,3,87,37
189,"NZTA\SDLT\Model\ControlWeightSet",2,2,0,0,4,87,37
190,"NZTA\SDLT\Model\ControlWeightSet",2,2,0,0,8,87,37
191,"NZTA\SDLT\Model\ControlWeightSet",2,2,0,0,6,87,37
192,"NZTA\SDLT\Model\ControlWeightSet",2,2,0,0,10,87,37
193,"NZTA\SDLT\Model\ControlWeightSet",10,10,15,15,2,89,37
194,"NZTA\SDLT\Model\ControlWeightSet",10,10,15,15,4,89,37
195,"NZTA\SDLT\Model\ControlWeightSet",2,2,0,0,2,90,37
196,"NZTA\SDLT\Model\ControlWeightSet",7,0,0,0,9,62,37
197,"NZTA\SDLT\Model\ControlWeightSet",3,0,0,0,9,45,37
198,"NZTA\SDLT\Model\ControlWeightSet",4,4,0,0,9,75,37
199,"NZTA\SDLT\Model\ControlWeightSet",3,3,0,0,9,82,37
200,"NZTA\SDLT\Model\ControlWeightSet",4,4,0,0,9,77,37
201,"NZTA\SDLT\Model\ControlWeightSet",2,2,0,0,9,87,37
202,"NZTA\SDLT\Model\ControlWeightSet",4,4,0,0,9,71,37
203,"NZTA\SDLT\Model\ControlWeightSet",7,2,0,0,9,59,37
204,"NZTA\SDLT\Model\ControlWeightSet",2,2,0,0,9,23,37
205,"NZTA\SDLT\Model\ControlWeightSet",3,3,0,0,9,83,37
206,"NZTA\SDLT\Model\ControlWeightSet",2,5,0,0,9,51,37
207,"NZTA\SDLT\Model\ControlWeightSet",4,4,0,0,9,78,37
208,"NZTA\SDLT\Model\ControlWeightSet",4,1,0,0,9,56,37
209,"NZTA\SDLT\Model\ControlWeightSet",1,0,0,0,9,46,37
210,"NZTA\SDLT\Model\ControlWeightSet",3,0,0,0,9,55,37
211,"NZTA\SDLT\Model\ControlWeightSet",1,5,0,0,9,26,37
